"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2638","Positive: Standard user tries to add 1 product to the cart and remove.","","Tue Sep 02 14:28:43 EDT 2025","passed","Tue Sep 02 14:28:45 EDT 2025","Cart Feature @cart","Cart.test.spec.ts","",""
"","1864","Negative: User tries to login without username.","","Tue Sep 02 14:28:48 EDT 2025","passed","Tue Sep 02 14:28:50 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
"","2207","Positive: User can sort the products by price (low to high).","","Tue Sep 02 14:28:50 EDT 2025","passed","Tue Sep 02 14:28:52 EDT 2025","Sorting Feature. @sorting","Sorting.test.spec.ts","",""
"","2847","Positive: User can sort the products by price (high to low).","","Tue Sep 02 14:28:50 EDT 2025","passed","Tue Sep 02 14:28:53 EDT 2025","Sorting Feature. @sorting","Sorting.test.spec.ts","",""
"","1620","Positive: Problem user tries to login with correct credentials.","","Tue Sep 02 14:28:46 EDT 2025","passed","Tue Sep 02 14:28:48 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
"","3465","Positive: Standard user tries to add 2 products to the cart.","","Tue Sep 02 14:28:43 EDT 2025","passed","Tue Sep 02 14:28:46 EDT 2025","Cart Feature @cart","Cart.test.spec.ts","",""
"","3001","Positive: User can sort the products by name (a to z).","","Tue Sep 02 14:28:50 EDT 2025","passed","Tue Sep 02 14:28:53 EDT 2025","Sorting Feature. @sorting","Sorting.test.spec.ts","",""
"","2706","Positive: Complete checkout with 2 products and verify confirmation","","Tue Sep 02 14:28:46 EDT 2025","passed","Tue Sep 02 14:28:48 EDT 2025","Checkout Flow @checkout","Checkout.test.spec.ts","",""
"","2221","Positive: User can sort the products by name (z to a).","","Tue Sep 02 14:28:52 EDT 2025","passed","Tue Sep 02 14:28:55 EDT 2025","Sorting Feature. @sorting","Sorting.test.spec.ts","",""
"","2074","Negative: User tries to login without credentials.","","Tue Sep 02 14:28:48 EDT 2025","passed","Tue Sep 02 14:28:50 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
"","2739","Positive: Standard user tries to add 1 product to the cart and then delete from the cart.","","Tue Sep 02 14:28:43 EDT 2025","passed","Tue Sep 02 14:28:45 EDT 2025","Cart Feature @cart","Cart.test.spec.ts","",""
"","1875","Negative: User tries to login without password.","","Tue Sep 02 14:28:48 EDT 2025","passed","Tue Sep 02 14:28:50 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
"","2406","Positive: Standard user tries to login with correct credentials.","","Tue Sep 02 14:28:46 EDT 2025","passed","Tue Sep 02 14:28:48 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
"","3427","Positive: Standard user tries to add 1 product to the cart.","","Tue Sep 02 14:28:43 EDT 2025","passed","Tue Sep 02 14:28:46 EDT 2025","Cart Feature @cart","Cart.test.spec.ts","",""
"","9079","Positive: Performance user tries to login with correct credentials.","","Tue Sep 02 14:28:47 EDT 2025","passed","Tue Sep 02 14:28:56 EDT 2025","Login Feature @login","Login.test.spec.ts","",""
